Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Event Start Video Time [ms]	Event End Video Time [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Visual Intake Average Pupil Size X [px]	Visual Intake Average Pupil Size Y [px]	Visual Intake Average Pupil Diameter [mm]	Visual Intake Dispersion X [px]	Visual Intake Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	13	4010.5	4076.9	899696.2	899762.6	66.4	00:00:04:081	00:00:04:165	-	-	-	-	-	-	-	804.8	285.0	902.3	188.3	6.0	7314.3	14164.7	736.3	104.1	266.2	49.8	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	13	4076.9	4359.8	899762.6	900045.5	282.9	00:00:04:165	00:00:04:456	902.2	191.1	68.6	46.1	3.6	12.7	31.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	14	4359.8	4426.4	900045.5	900112.1	66.6	00:00:04:456	00:00:04:540	-	-	-	-	-	-	-	914.7	191.1	899.7	315.4	5.3	4678.2	11676.7	321.8	94.2	208.4	50.2	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	14	4426.4	4559.4	900112.1	900245.1	133.0	00:00:04:540	00:00:04:665	903.5	314.6	69.1	51.5	3.7	23.2	10.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	15	4559.4	4626.0	900245.1	900311.7	66.6	00:00:04:665	00:00:04:706	-	-	-	-	-	-	-	878.0	306.6	897.3	202.5	4.6	4875.9	10953.0	909.0	88.8	181.9	50.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	15	4626.0	4842.3	900311.7	900528.0	216.3	00:00:04:706	00:00:04:956	890.2	217.6	68.2	46.5	3.6	43.2	30.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	16	4842.3	4908.9	900528.0	900594.6	66.6	00:00:04:956	00:00:04:998	-	-	-	-	-	-	-	911.4	210.7	772.4	257.5	5.9	8176.0	14407.2	1037.3	115.7	235.8	25.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	16	4908.9	5042.0	900594.6	900727.7	133.1	00:00:04:998	00:00:05:123	777.8	265.5	69.3	48.3	3.6	5.6	6.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	17	5042.0	5191.7	900727.7	900877.5	149.7	00:00:05:123	00:00:05:290	-	-	-	-	-	-	-	770.7	264.3	603.4	254.1	7.1	5406.5	16711.1	802.9	77.2	332.5	22.2	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	17	5191.7	5275.2	900877.5	900960.9	83.5	00:00:05:290	00:00:05:331	613.1	248.5	67.6	42.8	3.3	12.8	15.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	18	5275.2	5341.5	900960.9	901027.2	66.3	00:00:05:331	00:00:05:415	-	-	-	-	-	-	-	617.4	246.5	606.8	478.4	9.5	10392.6	18387.6	1293.8	169.9	313.6	24.7	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	18	5341.5	5558.1	901027.2	901243.8	216.6	00:00:05:415	00:00:05:623	619.8	448.7	67.3	53.0	3.4	13.7	56.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	19	5558.1	5641.2	901243.8	901326.9	83.1	00:00:05:623	00:00:05:748	-	-	-	-	-	-	-	620.3	417.9	717.8	580.9	7.5	7936.6	15775.6	756.9	110.8	291.0	39.9	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	19	5641.2	5791.0	901326.9	901476.7	149.7	00:00:05:748	00:00:05:872	714.1	561.2	66.7	57.4	3.4	4.5	30.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
