Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Event Start Video Time [ms]	Event End Video Time [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Visual Intake Average Pupil Size X [px]	Visual Intake Average Pupil Size Y [px]	Visual Intake Average Pupil Diameter [mm]	Visual Intake Dispersion X [px]	Visual Intake Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	39	19901.6	19968.1	227283.5	227350.1	66.6	00:00:19:993	00:00:20:035	-	-	-	-	-	-	-	748.8	612.0	678.0	621.6	3.3	6267.9	13208.6	183.3	67.5	188.6	49.5	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	39	19968.1	20051.0	227350.1	227433.0	82.9	00:00:20:035	00:00:20:118	675.2	616.8	59.8	50.6	3.0	7.7	9.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	40	20051.0	20134.4	227433.0	227516.3	83.3	00:00:20:118	00:00:20:201	-	-	-	-	-	-	-	671.4	612.4	850.2	605.5	8.4	7998.9	18911.5	2.2	108.0	318.6	40.1	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	40	20134.4	20250.7	227516.3	227632.6	116.3	00:00:20:201	00:00:20:326	822.6	600.5	56.9	48.3	2.9	41.3	5.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	41	20250.7	20317.2	227632.6	227699.2	66.5	00:00:20:326	00:00:20:410	-	-	-	-	-	-	-	814.2	603.0	887.0	612.3	3.4	7414.9	15685.7	1.1	82.9	214.2	50.0	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	41	20317.2	20433.9	227699.2	227815.8	116.6	00:00:20:410	00:00:20:535	862.7	609.1	54.4	47.6	2.8	32.7	10.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	42	20433.9	20600.1	227815.8	227982.1	166.3	00:00:20:535	00:00:20:701	-	-	-	-	-	-	-	847.5	602.2	594.1	609.6	11.8	5787.2	15403.9	225.7	77.7	256.9	80.0	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	42	20600.1	20883.0	227982.1	228265.0	282.9	00:00:20:701	00:00:20:951	642.6	645.9	55.6	48.8	2.8	95.7	32.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	43	20883.0	20916.3	228265.0	228298.3	33.3	00:00:20:951	00:00:20:993	-	-	-	-	-	-	-	676.2	645.7	689.5	651.2	0.3	1666.0	2694.1	638.0	22.3	39.9	49.8	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	43	20916.3	21265.8	228298.3	228647.7	349.4	00:00:20:993	00:00:21:326	702.4	667.4	57.5	50.9	2.9	20.7	27.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
